ISO,scenario,diff_Y0,diff_Y1,diff_Y2,diff_Y3,diff_Y4,diff_Y5,diff_Y6,diff_Y7,diff_Y8,diff_Y9,diff_Y10,total_person_years_saved,emissions_factor_Y0,total_emissions,emissions_factor_Y1,emissions_Y1,emissions_factor_Y2,emissions_Y2,emissions_factor_Y3,emissions_Y3,emissions_factor_Y4,emissions_Y4,emissions_factor_Y5,emissions_Y5,emissions_factor_Y6,emissions_Y6,emissions_factor_Y7,emissions_Y7,emissions_factor_Y8,emissions_Y8,emissions_factor_Y9,emissions_Y9,emissions_factor_Y10,emissions_Y10
ITA,mod_uptake,0.0,3498.3042,9580.5704,16546.4602,22058.939300000002,27496.7604,30128.722999999998,37920.38139999999,45228.2845,52061.9343,64064.9048,308585.2625,5.178372692912225,1487175.7183022723,5.126588965983102,17934.367711372342,5.075323076323271,48624.490035459676,5.0245698455600385,83138.84497167933,4.974324147104438,109728.31441950108,4.924580905633394,135410.02123261645,4.87533509657706,146887.62065694848,4.826581745611289,183025.82065185782,4.778315928155176,216115.03222948386,4.7305327688736245,246280.68621709573,4.683227441184888,300030.5201762575
KOR,max_uptake,0.0,2600.6585,4035.3432000000003,6276.878300000001,10087.053399999999,12519.5627,14748.996000000003,17670.135,21056.631199999996,26124.056999999997,28950.987199999996,144070.3025,11.090826786398114,1486711.312531825,10.979918518534133,28555.0184245332,10.870119333348791,43864.66213501758,10.761418140015303,67548.11200028843,10.65380395861515,107465.4894436824,10.547265919028998,132047.15698685666,10.441793259838708,154005.9670221881,10.33737532724032,182662.8175780056,10.234001573967916,215493.59684326188,10.131661558228236,264680.10405186325,10.030344942645954,290388.3880461277
HUN,max_uptake,0.0,6515.8553,12910.6577,18355.187799999996,23948.563199999997,29224.964500000002,35140.8713,41015.43920000001,46076.590299999996,51941.99569999999,57103.544299999994,322233.66929999995,4.568843848524205,1373557.8420831417,4.523155410038963,29472.22615122605,4.477923855938573,57812.94211068703,4.433144617379187,81371.20199655411,4.3888131712053955,105105.76960360481,4.344925039493342,126980.28003435401,4.301475789098409,151157.6071047731,4.258461031207425,174662.64951105748,4.21587642089535,194253.2106010254,4.173717656686397,216791.22457661887,4.131980480119533,235950.73039324098
CHL,max_uptake,0.0,5642.342500000001,10841.288100000002,16138.653600000001,21898.561800000003,27620.1348,35237.583,41803.9841,47818.8414,54985.193199999994,61262.5365,323249.119,4.2728472974110625,1286433.4157563164,4.230118824436952,23867.779223170655,4.187817636192582,45401.33750422478,4.1459394598306565,66909.88078877809,4.10448006523235,89882.21036535865,4.0634352645800265,112232.629758774,4.022800911934226,141753.78102675796,3.982572902814884,166487.41430636426,3.942747173786735,188537.6017836061,3.9033197020488677,214624.7879385234,3.864286505028379,236735.9930607585
ROU,mod_uptake,0.0,5232.937,10888.2328,16172.186800000001,22744.7371,31061.226400000007,36094.698000000004,42770.2381,50111.07059999999,57026.5589,63046.558399999994,335148.44409999996,3.7132861816422165,1159032.4261621323,3.676153319825794,19237.07872498923,3.6393917866275363,39626.54502320854,3.602997868761261,58268.354573609,3.566967890073648,81129.74690386682,3.5312982111729116,109686.45322315684,3.4959852290611826,126186.53105542422,3.4610253767705705,148028.8794346195,3.4264151230028648,171701.3301337042,3.392150971772836,193442.69718949587,3.3582294620551076,211724.8099000579
JPN,mod_uptake,0.0,1634.121,4091.4168,9803.937,12258.8164,15795.4603,15740.887700000001,19076.9424,20724.3035,23175.787000000004,29221.5853,151523.25740000003,7.587407788436326,1071801.122748501,7.511533710551962,12274.754978620884,7.436418373446442,30425.487064947447,7.362054189711978,72177.11546652229,7.288433647814858,89347.5699321446,7.2155493113367095,113972.92268991134,7.143393818223342,112443.35988952786,7.071959880041109,134911.37128665514,7.0012402812406975,145095.8284648576,6.931227878428291,160636.66095891598,6.861915599644008,200516.05201639803
CZE,mod_uptake,0.0,2235.6511,5542.8769,8112.655400000001,10227.3342,12539.7798,14517.084100000002,16488.441600000002,18601.5688,21413.9928,23868.7833,133548.168,8.331411089905579,1038227.2403099844,8.248096979006522,18439.867084022608,8.165616009216457,45261.004351756084,8.083959849124293,65582.38052338138,8.00312025063305,81850.58544601196,7.923089048126719,99353.79199930065,7.843858157645451,113869.94854301009,7.765419576068997,128039.66717951042,7.687765380308306,143004.49664006312,7.610887726505223,162979.4949769912,7.534778849240171,179846.003565937
QAT,max_uptake,0.0,296.2943000000001,655.5531000000001,1132.2076000000002,1371.8245000000002,1941.7326,2476.8496,2980.6708,3467.7191000000007,4030.5738000000006,4501.4340999999995,22854.8595,48.157514668497974,1023909.4483252729,47.67593952181299,14126.10912745792,47.19918012659486,30941.568849447656,46.72718832532891,52904.87774856867,46.25991644207562,63460.486743192174,45.79731727765486,88926.1439505657,45.339344104878315,112298.7363104302,44.88595066382953,133790.2424739173,44.43709115719124,154095.3497542332,43.992720245619324,177315.90561272283,43.55279304316313,196050.02775473724
ARE,max_uptake,0.0,807.9430999999998,1473.9218,2407.7762000000002,3255.8115,4135.1433,5287.653400000001,6842.350200000001,8357.373,9573.4673,10645.783399999998,52787.22320000001,19.648625763812973,964385.2031578623,19.45213950617484,15716.221894251368,19.257618111113093,28384.22315004441,19.06504193000196,45904.35421106079,18.87439151070194,61451.46093604575,18.685647595594922,77267.83046108545,18.498791119638973,97815.19575964884,18.313803208442582,125309.45504604776,18.130665176358157,151524.7316169359,17.949358524594576,171837.59689118242,17.76986493934863,189174.1331915596
NLD,max_uptake,0.0,2621.242,6096.954,8408.568199999998,10993.9812,13793.011499999999,16468.6213,18811.0165,20792.715999999997,24846.085100000004,26671.1963,149503.39210000003,6.873149624740947,958459.9925065275,6.804418128493537,17836.026583968658,6.736373947208602,41071.36208292927,6.669010207736515,56076.82715824864,6.60232010565915,72585.78311799871,6.536296904602558,90155.21837259748,6.470933935556532,106567.36044199913,6.406224596200967,120507.59658184223,6.342162350238957,131870.78057441115,6.278740726736568,156002.12641733262,6.215953319469202,165786.9111751997
