ISO,scenario,diff_Y0,diff_Y1,diff_Y2,diff_Y3,diff_Y4,diff_Y5,diff_Y6,diff_Y7,diff_Y8,diff_Y9,diff_Y10,total_person_years_saved,emissions_factor_Y0,total_emissions,emissions_factor_Y1,emissions_Y1,emissions_factor_Y2,emissions_Y2,emissions_factor_Y3,emissions_Y3,emissions_factor_Y4,emissions_Y4,emissions_factor_Y5,emissions_Y5,emissions_factor_Y6,emissions_Y6,emissions_factor_Y7,emissions_Y7,emissions_factor_Y8,emissions_Y8,emissions_factor_Y9,emissions_Y9,emissions_factor_Y10,emissions_Y10,oecd_nonfood_ghg_t_per_capita,food_add_back_t_per_capita
BRB,max_uptake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
BRB,mod_uptake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
BRN,max_uptake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,12.745693332557405,
BRN,mod_uptake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,12.745693332557405,
CAN,max_uptake,0.0,7918.773894556363,15941.930827272894,24107.183098323243,32472.873073251336,41213.68012898473,50309.21436655355,59589.62493106973,68973.11356191043,78490.12823466209,88281.23954348371,467297.76166006806,16.26028342396523,7598394.04797726,16.26028342396523,128761.50789578342,16.26028342396523,259220.31357670575,16.26028342396523,391989.6297321602,16.26028342396523,528018.1197615155,16.26028342396523,670146.1198419356,16.26028342396523,818042.084437184,16.26028342396523,968944.1905069784,16.26028342396523,1121522.3751500037,16.26028342396523,1276271.7310789812,16.26028342396523,1435477.9759960119,9.793963663053791,6.466319760911438
CAN,mod_uptake,0.0,4066.473448506221,8184.432437459058,12399.623203582589,16713.330747075106,21215.14121466254,25880.19066524313,30677.51806298164,35490.149547430134,40366.17455379606,45336.30362537031,240329.3375061068,16.242830610405555,3903628.719822679,16.242830610405555,66051.03940579828,16.242830610405555,132938.34972395614,16.242830610405555,201404.97932864627,16.242830610405555,271471.80026042386,16.242830610405555,344593.9451255972,16.242830610405555,420367.5531405432,16.242830610405555,498289.72944466746,16.242830610405555,576460.4874368691,16.242830610405555,655660.9356673724,16.242830610405555,736389.9002888052,9.793963663053791,6.448866947351766
CHE,max_uptake,0.0,759.3918423012358,1544.9475215996931,2362.873051383021,3196.3034100614814,4071.915150194764,5003.958745963811,5968.617157860615,6959.34547447154,7980.926986350813,9044.545383256442,46892.824723443424,15.6911417652742,735801.9605097056,15.6911417652742,11915.72505294144,15.6911417652742,24241.990581329806,15.6911417652742,37076.176022597014,15.6911417652742,50153.649932104054,15.6911417652742,63892.99787787383,15.6911417652742,78517.82607050188,15.6911417652742,93654.4179666389,15.6911417652742,109200.07643345237,15.6911417652742,125229.8567611332,15.6911417652742,141919.24381113308,8.897904979673987,6.793236785600213
CHE,mod_uptake,0.0,391.2190582252426,798.0578361760822,1217.76990639166,1648.0438400605735,2098.777408449515,2574.348194999271,3068.506801916802,3577.0199845727893,4098.296327654851,4639.755808546339,24111.795166993128,15.628023141342826,376819.69284908666,15.628023141342826,6113.980495278437,15.628023141342826,12472.066331889795,15.628023141342826,19031.33627791975,15.628023141342826,25755.66727041414,15.628023141342826,32799.741907776544,15.628023141342826,40231.97316532274,15.628023141342826,47954.69530972365,15.628023141342826,55901.75109594931,15.628023141342826,64048.26984867033,15.628023141342826,72510.21114614198,8.897904979673987,6.73011816166884
CHL,max_uptake,0.0,5285.414618967555,10700.891724645193,16268.695316061763,21985.969883158665,27935.09487680239,34071.57088988207,40326.9433253873,46703.92439200656,53194.65982930991,59870.66077876003,316343.8256349814,8.732708620125685,2762538.4530461384,8.732708620125685,46155.98580399628,8.732708620125685,93447.76940684069,8.732708620125685,142069.7758247709,8.732708620125685,191997.06872048337,8.732708620125685,243949.0438346811,8.732708620125685,297537.1008112965,8.732708620125685,352163.4456009296,8.732708620125685,407851.76313177386,8.732708620125685,464533.46443606814,8.732708620125685,522833.0354752985,3.5971906460666596,5.135517974059025
CHL,mod_uptake,0.0,2753.646003594741,5568.569039206883,8482.807755243062,11458.841778426098,14553.80706209522,17764.80880596202,21054.788699318386,24414.80917926768,27839.30546596994,31353.85987460185,165245.2436636859,8.77362367694196,1449799.5823097578,8.77362367694196,24159.45377505543,8.77362367694196,48856.52916907145,8.77362367694196,74424.96296834742,8.77362367694196,100535.56553753094,8.77362367694196,127689.62622964375,8.77362367694196,155861.74715633542,8.77362367694196,184726.7926453498,8.77362367694196,214206.34788324282,8.77362367694196,244251.58958585362,8.77362367694196,275086.9673593273,3.5971906460666596,5.176433030875302
CYP,max_uptake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.341378550298217,0.0,10.341378550298217,0.0,10.341378550298217,0.0,10.341378550298217,0.0,10.341378550298217,0.0,10.341378550298217,0.0,10.341378550298217,0.0,10.341378550298217,0.0,10.341378550298217,0.0,10.341378550298217,0.0,10.341378550298217,0.0,5.541660094489136,4.7997184558090815
CYP,mod_uptake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.350317339549903,0.0,10.350317339549903,0.0,10.350317339549903,0.0,10.350317339549903,0.0,10.350317339549903,0.0,10.350317339549903,0.0,10.350317339549903,0.0,10.350317339549903,0.0,10.350317339549903,0.0,10.350317339549903,0.0,10.350317339549903,0.0,5.541660094489136,4.808657245060768
CZE,max_uptake,0.0,4809.80221830214,9548.907920885378,14240.815218689364,18937.17634761626,23693.07508772664,28512.59714355245,33246.341928067406,37861.16118093672,42324.65949449286,46752.70433952882,259927.24087979808,10.840036794122938,2817620.8549318668,10.840036794122938,52138.433018849326,10.840036794122938,103510.51320608945,10.840036794122938,154370.9609488986,10.840036794122938,205279.68838495488,10.840036794122938,256833.80571687434,10.840036794122938,309077.6021321131,10.840036794122938,360391.5697702428,10.840036794122938,410416.38026957307,10.840036794122938,458800.8662190273,10.840036794122938,506801.03526524355,5.870397227151754,4.969639566971184
