ISO,scenario,year,pi,pi_dose
NZL,mod_uptake,2,0.9934754687200568,0.9929073221393759
NZL,mod_uptake,3,0.9897173967873701,0.9888377459553774
NZL,mod_uptake,4,0.9856022222624411,0.9843809962547777
NZL,mod_uptake,5,0.9811247541693641,0.9795379297623724
NZL,mod_uptake,6,0.9762364923081225,0.9742560959505409
NZL,mod_uptake,7,0.9708924259075127,0.9684892203421505
NZL,mod_uptake,8,0.9650054382386646,0.9621503848115215
NZL,mod_uptake,9,0.9584960188551496,0.955163609813219
NZL,mod_uptake,10,0.9513658702882783,0.947506311579238
NZL,mod_uptake,11,0.9435896884849315,0.9391844516559399
NZL,mod_uptake,12,0.9351217477706041,0.9301241669887613
NZL,mod_uptake,13,0.9258869143033086,0.9202689175229123
NZL,mod_uptake,14,0.9158317844394802,0.909549516826373
NZL,mod_uptake,15,0.9049492435834561,0.8979925228155172
OMN,max_uptake,1,0.9985219948932574,0.9984503199272963
OMN,max_uptake,2,0.9969010185318432,0.9967485609419968
OMN,max_uptake,3,0.9951349079219587,0.9948981613253346
OMN,max_uptake,4,0.9932098914793889,0.9928797182971355
OMN,max_uptake,5,0.99111351335434,0.9906824921284142
OMN,max_uptake,6,0.9887957002174869,0.9882523223853895
OMN,max_uptake,7,0.9862427397407185,0.9855766367146384
OMN,max_uptake,8,0.9834357275382959,0.982640277917128
OMN,max_uptake,9,0.9803698662675162,0.979433186269546
OMN,max_uptake,10,0.9770314816794741,0.9759375498575561
OMN,max_uptake,11,0.9733572474612635,0.9720927515240213
OMN,max_uptake,12,0.9693228153446163,0.9678798944525869
OMN,max_uptake,13,0.964909498335681,0.963276520868574
OMN,max_uptake,14,0.9600959171199308,0.9582581763029249
OMN,max_uptake,15,0.9548773414124436,0.9528221873918575
OMN,mod_uptake,1,0.9985072676269461,0.9984328687039538
OMN,mod_uptake,2,0.9968712281092059,0.9967088927570643
OMN,mod_uptake,3,0.9950853574283711,0.9948387324846562
OMN,mod_uptake,4,0.9931437835146304,0.9928041181530268
OMN,mod_uptake,5,0.9910225984492894,0.9905830788480289
OMN,mod_uptake,6,0.9886785210251912,0.9881290451792083
OMN,mod_uptake,7,0.9860966145523044,0.9854259553058724
OMN,mod_uptake,8,0.9832680344484718,0.9824614352502189
OMN,mod_uptake,9,0.9801760316340346,0.9792242093507431
OMN,mod_uptake,10,0.9768062635632552,0.9756960573778761
