panel,spec,label,uptake,step,value_Mt,n_countries,population_2022,per_capita_t,per_capita_kg
B_10yr_with_survivorship,cereal_sweets_up_p10_ci,Cereals/sweets + all-food P10 CI,max_uptake,rebound_effect,171.17696700917998,40,1184637982.0,0.14449728069682977,144.4972806968298
B_10yr_with_survivorship,cereal_sweets_up_p10_ci,Cereals/sweets + all-food P10 CI,max_uptake,actual_food_savings,158.1829197573987,40,1184637982.0,0.13352848900753775,133.52848900753773
B_10yr_with_survivorship,cereal_sweets_up_p10_ci,Cereals/sweets + all-food P10 CI,max_uptake,survivorship,210.11023222510462,40,1184637982.0,0.17736239713535087,177.36239713535088
B_10yr_with_survivorship,cereal_sweets_up_p10_ci,Cereals/sweets + all-food P10 CI,max_uptake,manufacturing,12.477086478018869,40,1184637982.0,0.010532404555317447,10.532404555317449
B_10yr_with_survivorship,cereal_sweets_up_p10_ci,Cereals/sweets + all-food P10 CI,max_uptake,net_savings,-64.4043989457248,40,1184637982.0,-0.054366312683130566,-54.366312683130566
A_1yr_no_mortality,cereal_sweets_up_p10_ci,Cereals/sweets + all-food P10 CI,mod_uptake,naive_reductions,17.939433927250086,53,1208896546.5,0.014839511270992027,14.839511270992027
A_1yr_no_mortality,cereal_sweets_up_p10_ci,Cereals/sweets + all-food P10 CI,mod_uptake,rebound_effect,9.384697453230547,53,1208896546.5,0.00776302776312923,7.763027763129231
A_1yr_no_mortality,cereal_sweets_up_p10_ci,Cereals/sweets + all-food P10 CI,mod_uptake,actual_food_savings,8.55473647401954,53,1208896546.5,0.007076483507862797,7.076483507862797
A_1yr_no_mortality,cereal_sweets_up_p10_ci,Cereals/sweets + all-food P10 CI,mod_uptake,manufacturing,0.6970286943713602,53,1208896546.5,0.0005765825838359777,0.5765825838359776
A_1yr_no_mortality,cereal_sweets_up_p10_ci,Cereals/sweets + all-food P10 CI,mod_uptake,net_savings,7.85770777964818,53,1208896546.5,0.006499900924026819,6.499900924026819
B_10yr_with_survivorship,cereal_sweets_up_p10_ci,Cereals/sweets + all-food P10 CI,mod_uptake,naive_reductions,169.09445376298632,40,1184637982.0,0.1427393485033357,142.7393485033357
B_10yr_with_survivorship,cereal_sweets_up_p10_ci,Cereals/sweets + all-food P10 CI,mod_uptake,rebound_effect,88.06537472229189,40,1184637982.0,0.07433948266086567,74.33948266086566
B_10yr_with_survivorship,cereal_sweets_up_p10_ci,Cereals/sweets + all-food P10 CI,mod_uptake,actual_food_savings,81.02907904069444,40,1184637982.0,0.06839986584247004,68.39986584247005
B_10yr_with_survivorship,cereal_sweets_up_p10_ci,Cereals/sweets + all-food P10 CI,mod_uptake,survivorship,111.21558266167312,40,1184637982.0,0.09388149320850758,93.88149320850758
B_10yr_with_survivorship,cereal_sweets_up_p10_ci,Cereals/sweets + all-food P10 CI,mod_uptake,manufacturing,6.521615822057919,40,1184637982.0,0.005505155094763727,5.505155094763726
B_10yr_with_survivorship,cereal_sweets_up_p10_ci,Cereals/sweets + all-food P10 CI,mod_uptake,net_savings,-36.7081194430366,40,1184637982.0,-0.030986782460801263,-30.98678246080126
